Unnamed: 0,Sparta,Den Bosch,Cambuur,For Sittard,Graafschap,PSV Eindhoven,Ajax,Utrecht,Waalwijk,MVV Maastricht,Heerenveen,Roda,Twente,Willem II,Feyenoord,Vitesse,AZ Alkmaar,Nijmegen,NAC Breda,Groningen,Roosendaal,Excelsior,Zwolle,Volendam,Den Haag,Heracles,VVV Venlo,Go Ahead Eagles,Dordrecht,FC Emmen,Almere City
0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,4.0,1.0,2.0,0.0,,,,,,,,,,,,,
1,1.0,1.0,0.0,2.0,1.0,6.0,6.0,,2.0,2.0,3.0,1.0,4.0,2.0,4.0,1.0,,2.0,,,,,,,,,,,,,
2,,1.0,0.0,1.0,,2.0,3.0,1.0,1.0,2.0,1.0,4.0,0.0,2.0,3.0,6.0,2.0,3.0,,,,,,,,,,,,,
3,3.0,,1.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,4.0,2.0,0.0,1.0,,,,,,,,,,,,,,
4,2.0,1.0,1.0,0.0,1.0,,,1.0,,1.0,,,3.0,,1.0,,0.0,,,,,,,,,,,,,,
5,1.0,,,,1.0,,1.0,2.0,1.0,,2.0,0.0,,3.0,,2.0,1.0,,,,,,,,,,,,,,
6,3.0,3.0,2.0,0.0,2.0,6.0,3.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,4.0,2.0,,,,,,,,,,,,,
7,0.0,0.0,1.0,4.0,,7.0,,,,1.0,3.0,,,,,,,2.0,,,,,,,,,,,,,
8,,2.0,,,1.0,,6.0,1.0,2.0,,,2.0,3.0,3.0,0.0,5.0,0.0,1.0,,,,,,,,,,,,,
9,1.0,2.0,0.0,1.0,2.0,6.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,
10,3.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,1.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,6.0,1.0,,,,,,,,,,,,,
